FileName,psnr,ssim,fd
2233.h5,18.591751125038574,0.72349566,1.7344503581674329
2234.h5,17.049495549706663,0.7386975,1.6284209831287646
2235.h5,21.000919437367777,0.8733213,0.9594415287314405
2236.h5,15.70192196605266,0.5772692,2.51811085873854
2237.h5,17.39732360292056,0.38056195,2.2904568551461297
2238.h5,18.89086194224594,0.6517651,1.8840545601612078
2239.h5,19.216062893701974,0.71278656,1.5683855423333046
2240.h5,18.32191440297982,0.8091432,1.3950961270241156
2241.h5,18.34505016963286,0.699877,1.6751312152677553
2242.h5,17.254823293549638,0.53171176,2.5382169907867613
2243.h5,18.871272468549414,0.5883821,2.141244729042057
2244.h5,18.264044120379733,0.54766095,2.1139660934664737
2245.h5,20.488318075441853,0.6390614,1.5587732263133371
2246.h5,18.996874640753447,0.7581664,1.4513338506694673
2247.h5,20.124002581053837,0.6537794,1.8220501186874352
2248.h5,17.74957668532955,0.4866213,2.2423290006772807
2249.h5,20.910340688011395,0.7440349,1.423325040849421
2250.h5,16.84814127463935,0.65419585,2.042844095724798
2251.h5,19.83774285270392,0.6035375,2.0712174009437243
2252.h5,17.789810180457973,0.60435295,1.9247009524651555
2253.h5,21.7808574449085,0.7876369,1.4802035903949504
2254.h5,18.866398377668453,0.55565345,1.8045580202301608
2255.h5,20.13449307284813,0.6061057,1.5816054574092482
2256.h5,19.792669168694577,0.70536834,1.795016878900393
2257.h5,20.74837623973242,0.71237546,1.5535198184309487
2258.h5,19.839990073374057,0.63079596,1.8277805590828216
2259.h5,18.733537738473995,0.63514304,2.0198627499569044
2260.h5,18.38743490443965,0.6130305,1.765686183285405
2261.h5,19.529820854094485,0.6790722,1.7570488105070987
2262.h5,21.31755703107954,0.852185,1.3234401253822492
2263.h5,21.57818922911811,0.8412932,1.3266056469281498
2264.h5,20.36888811296524,0.659271,1.6701960951397479
2265.h5,18.096934649724297,0.64109087,1.9223957278947381
2266.h5,17.513135424231287,0.7376232,1.310067925551202
2267.h5,21.33064532135263,0.8529675,1.132912015098898
2268.h5,17.166954222448005,0.587312,1.9743958090953875
2269.h5,17.935906336713796,0.5944215,1.9110814046452587
2270.h5,15.893332353440801,0.36075592,2.080669068866732
2271.h5,20.144382963888972,0.59976614,1.754552463105659
2272.h5,19.235337519788768,0.710256,1.7512625104239707
2273.h5,16.684570565100273,0.68169135,1.501085534035809
2274.h5,17.52461452526944,0.56125826,1.7573745288018472
2275.h5,18.69626913697363,0.5872309,1.6338797504698392
2276.h5,18.026596033906163,0.739174,1.6159173640817008
2277.h5,21.14051287555984,0.7389074,1.3519942015860018
2278.h5,27.478146263568966,0.92099965,0.7292085229620284
2279.h5,17.63569289217497,0.51248103,2.419769997246657
2280.h5,20.997003643190475,0.609501,1.5350788599787841
2281.h5,20.165350162535475,0.75499195,1.366842874502364
2282.h5,19.951885520447426,0.75037205,1.3794278355218383
2283.h5,19.50921376166538,0.75370675,1.6998986890752428
2284.h5,21.9959757551402,0.6249918,1.4808515616180826
